SEARCH_TERM	LU	CITATIONS	ENGLISH_TRANSLATION	SOURCES	PAGE_LOCATION	LU_GLOSS	SFRAME	CM_BROADER	BODY_PART	MAP_1	MAP_2	MAP_3	RELEVANCE	KBBI_SENSE	ORIGIN	NOTES
kemarahan	pengacauan		disturbance	Indonesian WordNet	http://compling.hss.ntu.edu.sg/omw/cgi-bin/wn-gridx.cgi?usrname=&gridmode=wnbahasa&synset=00418394-n&lang=ind&lang2=eng	disturbance	disturbance	(cause of) anger is annoyance		cause-of-anger_annoyance/disturbance			metaphor			
kemarahan	gangguan		"interference; hindrance"	Indonesian WordNet	http://compling.hss.ntu.edu.sg/omw/cgi-bin/wn-gridx.cgi?usrname=&gridmode=wnbahasa&synset=00418394-n&lang=ind&lang2=eng	"interference; hindrance"	disturbance	(cause of) anger is annoyance		cause-of-anger_annoyance/disturbance			metaphor			
kemarahan	pengacau		agitator	Indonesian WordNet	http://compling.hss.ntu.edu.sg/omw/cgi-bin/wn-gridx.cgi?usrname=&gridmode=wnbahasa&synset=05830059-n&lang=ind&lang2=eng	agitator	disturbance	(cause of) anger is annoyance		person-causing-anger_person-causing-disturbance			metaphor			
anger	kegemasan hati	<w>kegemasan hati</w>	"annoyance; anger"	stevens_and_schmidgall-tellings_2004	310	"annoyance; anger"	disturbance	(cause of) anger is annoyance	hati	cause-of-anger_annoyance/disturbance			metaphor			
angry	membéngkéngi	<w>membéngkéngi</w>	to be angry/irritated with	stevens_and_schmidgall-tellings_2004	120	"annoyed; irritated"	disturbance	(cause of) anger is annoyance		cause-of-anger_annoyance/disturbance			metaphor			
angry	dongkol	<w>dongkol</w>	mildly angry	stevens_and_schmidgall-tellings_2004	250	"annoyed; irritated"	disturbance	(cause of) anger is annoyance		cause-of-anger_annoyance/disturbance			metaphor			
angry	salah penerimaan	<w>salah penerimaan</w>	"angry, annoyed; lit misunderstanding"	stevens_and_schmidgall-tellings_2004	860	"wrong, mistaken, erronous; wrong reception/misunderstanding"	disturbance	(cause of) anger is annoyance		cause-of-anger_annoyance/disturbance			metaphor			
anger	reda	<w>reda</w>	"to decrease; lessen; calm down (of anger)"	stevens_and_schmidgall-tellings_2004	815	"calm down; quiet down; abate; subside (of storms/winds)"	natural disaster	anger is (destructive) natural force		anger_natural-disaster	ceasing anger is ceasing amount of force		metaphor			
anger	meredakan	Dia berhasil <w>meredakan</w> <t>kemarahan</t> ayahnya	He succeeded in calming down his father's anger	stevens_and_schmidgall-tellings_2004	815	"to reduce; lessen; soothe; calm/quiet (down); cool off"	natural disaster	anger is (destructive) natural force		anger_natural-disaster	causing anger to cease is reducing the amount of the disaster		metaphor			
anger	memuntahkan	<w>memuntahkan</w> unek-unek	to spew forth one's anger	stevens_and_schmidgall-tellings_2004	648	to vomit sth.	fluid containment	anger is (heated) fluid in a container		anger_(heated-)fluid	expressing anger is releasing/channeling the liquid (at others)		metaphor			
anger	pemuntapan	<w>pemuntapan</w> unek-unek	outpouring of one's anger	stevens_and_schmidgall-tellings_2004	648	outpouring	fluid containment	anger is (heated) fluid in a container		anger_(heated-)fluid	expressing anger is releasing/channeling the liquid (at others)		metaphor			
angry	naik pitam	<w>naik pitam</w>	"get angry, become enraged; lit dizziness, apoplexy (due to blood raising to the head)"	stevens_and_schmidgall-tellings_2004	654	"get angry, become enraged; lit dizziness (due to blood raising to the head)"	pressure in a container	anger is (heated) fluid in a container		anger_(heated-)fluid	increased anger is fluid (being caused to) rises		metaphor			verticality
