CASE	FILES	SENT_ID	LEFT	NODE	RIGHT	NODE_SENTENCES	WORD_CLASS	USE	SYN_FUNC_NODE	PATTERN	MP	LU_POST	BODY_PART	LU	LU_GLOSS	LU_POS	NEGATION	METONYMY	SFRAME	SFRAME_URL	SFRAME_RELATED	SFRAME_RELATED_URL	SFRAME_RELATED_LINK	ROLEMAPPING_TD_IN_SFRAME	CM_ROLEMAPPING	CM_BROADER	MAP1	MAP2	MAP3	MAP4	NOTES
1036	ind_news_2011_300K	193781	""" News International menutup News of the world Juli lalu di tengah"	kemarahan	publik kepada kasus pengungkapan wartawannya yang menyadap telepon milik anak sekolah bernama Milly Dowler yang diculik dan dibunuh pada 2002.	""" News International menutup News of the world Juli lalu di tengah <m>kemarahan</m> publik kepada kasus pengungkapan wartawannya yang menyadap telepon milik anak sekolah bernama Milly Dowler yang diculik dan dibunuh pada 2002."	NA	?		<w>di tengah</w> node		l1		<w>di tengah</w>		prepo															
2009	ind_newscrawl_2016_1M	643491	Paus juga memberi penghormatan kepada pendeta Katolik Roma yang dibunuh di Turksi di tengah	kemarahan	war-ga Muslim akibat penerbitan kartun Nabi Muhammad.	Paus juga memberi penghormatan kepada pendeta Katolik Roma yang dibunuh di Turksi di tengah <m>kemarahan</m> war-ga Muslim akibat penerbitan kartun Nabi Muhammad.	NA	?		<w>di tengah</w> node		l1		<w>di tengah</w>		prepo															
199	ind_news_2008_300K	19993	"""Itu penting bagi mereka untuk merasa marah, itu reaksi yang bagus tapi tentu"	amarah	"itu harus dikelola dengan baik, itu akan membuat mereka fokus,"" katanya."	"""Itu penting bagi mereka untuk merasa marah, itu reaksi yang bagus tapi tentu <m>amarah</m> itu harus dikelola dengan baik, itu akan membuat mereka fokus,"" katanya."	NA	?		node harus <w>dikelola</w>		r1		<w>dikelola</w>																	
156	ind_mixed_2012_1M	812446	Ketika	amarah	dimanifestasikan dalam kehidupan seseorang, penyerahan total kepada Roh Kudus akan menggantikan amarah itu dengan Kasih Allah dan akan membawa perdamaian.	Ketika <m>amarah</m> dimanifestasikan dalam kehidupan seseorang, penyerahan total kepada Roh Kudus akan menggantikan amarah itu dengan Kasih Allah dan akan membawa perdamaian.	NA	?		node <w>dimanifestasikan dalam</w> STATE		r1		<w>dimanifestasikan dalam</w>																	
1113	ind-id_web_2015_3M	1349268	Kesedihan sekaligus	amarah	diungkapkan para orangtua korban.	Kesedihan sekaligus <m>amarah</m> diungkapkan para orangtua korban.	NA	?		node <w>diungkapkan</w>				<w>diungkapkan</w>																	
2129	ind_web_2011_300K	63273	Bahkan beberapa orang telah menyesal, bahwa mereka telah terdorong terlalu jauh untuk membuat Kangjeng Sultan marah, sehingga justru	kemarahan	yang tidak terkendali itu telah mengacaukan rencana mereka.	Bahkan beberapa orang telah menyesal, bahwa mereka telah terdorong terlalu jauh untuk membuat Kangjeng Sultan marah, sehingga justru <m>kemarahan</m> yang tidak terkendali itu telah mengacaukan rencana mereka.	NA	?		node <w>mengacaukan</w> EVENT		r2		<w>mengacaukan</w>																	
2705	ind_web_2012_1M	940186	Tapi saya menghargai Ò	kemarahan	Ó anda dengan teoritical statement.	Tapi saya menghargai Ò<m>kemarahan</m>Ó anda dengan teoritical statement.	NA	?		<w>menghargai</w> node		l1		<w>menghargai</w>																	
2650	ind_web_2012_1M	747994	Belakangan, di bawah ilham ilahi, Yakub mengutuk	kemarahan	putra-putranya yang tidak terkendali dengan kata-kata, ÓSimeon dan Lewi bersaudara.	Belakangan, di bawah ilham ilahi, Yakub mengutuk <m>kemarahan</m> putra-putranya yang tidak terkendali dengan kata-kata, ÓSimeon dan Lewi bersaudara.	NA	?		<w>mengutuk</w> node		l1		<w>mengutuk</w>					person	https://metaphor.icsi.berkeley.edu/pub/en/index.php/Frame:Person						anger is person	anger_person				
2754	ind_wikipedia_2016_1M	71916	Banyak pengguna beralih ke Twitter untuk menyuarakan ketidakpuasan dan	kemarahan	mereka atas pemadaman tersebut.	Banyak pengguna beralih ke Twitter untuk menyuarakan ketidakpuasan dan <m>kemarahan</m> mereka atas pemadaman tersebut.	NA	?		<w>menyuarakan</w> node		l1		<w>menyuarakan</w>																	
961	ind_news_2011_300K	31017	Dia menyuarakan	kemarahan	atas fakta Rene Gonzales, salah satu dari lima perwira intelijen Kuba yang menjalani hukuman penjara di AS karena tuduhan spionase.	Dia menyuarakan <m>kemarahan</m> atas fakta Rene Gonzales, salah satu dari lima perwira intelijen Kuba yang menjalani hukuman penjara di AS karena tuduhan spionase.	NA	?		<w>menyuarakan</w> node		l1		<w>menyuarakan</w>																	
779	ind_web_2012_1M	877046	Aksi-aksi yang dapat membuat orang berdecak kagum, merubah tangis menjadi tawa dan menyulap	amarah	menjadi senyuman.	Aksi-aksi yang dapat membuat orang berdecak kagum, merubah tangis menjadi tawa dan menyulap <m>amarah</m> menjadi senyuman.	NA	?		<w>menyulap</w> node		l1		<w>menyulap</w>																	
888	ind-id_web_2013_1M	41843	Aksi yang berlangsung selama hampir dua jam itu berjalan dengan aman meskipun terjadi riak dan penyampaian	amarah	oleh masa.	Aksi yang berlangsung selama hampir dua jam itu berjalan dengan aman meskipun terjadi riak dan penyampaian <m>amarah</m> oleh masa.	NA	?		<w>penyampaian</w> node		l1		<w>penyampaian</w>																	
